corp_code,fy,rcept_no,rcept_dt,report_nm,is_amend,기업명,군,업종코드,cand_rank
00303794,2024,20250317000833,20250317,사업보고서 (2024.12),0,(주)쇼박스,콘텐츠,59130,0
00303794,2025,20260318001592,20260318,사업보고서 (2025.12),0,(주)쇼박스,콘텐츠,59130,0
00303873,2019,20200330003232,20200330,사업보고서 (2019.12),0,씨제이씨지브이(주),콘텐츠,59141,0
00303873,2020,20210319001272,20210319,사업보고서 (2020.12),0,씨제이씨지브이(주),콘텐츠,59141,0
00303873,2021,20220321001182,20220321,사업보고서 (2021.12),0,씨제이씨지브이(주),콘텐츠,59141,0
00303873,2022,20230320001054,20230320,사업보고서 (2022.12),0,씨제이씨지브이(주),콘텐츠,59141,0
00303873,2023,20240318000720,20240318,사업보고서 (2023.12),0,씨제이씨지브이(주),콘텐츠,59141,0
00303873,2024,20250321001474,20250321,[기재정정]사업보고서 (2024.12),1,씨제이씨지브이(주),콘텐츠,59141,0
00303873,2024,20250317000874,20250317,사업보고서 (2024.12),0,씨제이씨지브이(주),콘텐츠,59141,1
00303873,2025,20260318001114,20260318,사업보고서 (2025.12),0,씨제이씨지브이(주),콘텐츠,59141,0
00347877,2019,20200330002517,20200330,사업보고서 (2019.12),0,(주)세영디앤씨,콘텐츠,901,0
00347877,2020,20210324000479,20210324,[기재정정]사업보고서 (2020.12),1,(주)세영디앤씨,콘텐츠,901,0
00347877,2020,20210323001177,20210323,사업보고서 (2020.12),0,(주)세영디앤씨,콘텐츠,901,1
00347877,2021,20220816001901,20220816,[기재정정]사업보고서 (2021.12),1,(주)세영디앤씨,콘텐츠,901,0
00347877,2021,20220323001134,20220323,사업보고서 (2021.12),0,(주)세영디앤씨,콘텐츠,901,1
00347877,2022,20230323001122,20230323,사업보고서 (2022.12),0,(주)세영디앤씨,콘텐츠,901,0
00347877,2023,20240321000531,20240321,사업보고서 (2023.12),0,(주)세영디앤씨,콘텐츠,901,0
00347877,2024,20250321000834,20250321,사업보고서 (2024.12),0,(주)세영디앤씨,콘텐츠,901,0
00347877,2025,20260331002442,20260331,[기재정정]사업보고서 (2025.12),1,(주)세영디앤씨,콘텐츠,901,0
00347877,2025,20260323000871,20260323,사업보고서 (2025.12),0,(주)세영디앤씨,콘텐츠,901,1
00348034,2019,20200330002925,20200330,사업보고서 (2019.12),0,(주)액토즈소프트,게임,5821,0
00348034,2020,20210323000612,20210323,사업보고서 (2020.12),0,(주)액토즈소프트,게임,5821,0
00348034,2021,20220322000871,20220322,사업보고서 (2021.12),0,(주)액토즈소프트,게임,5821,0
00348034,2022,20230323001558,20230323,사업보고서 (2022.12),0,(주)액토즈소프트,게임,5821,0
00348034,2023,20240321001839,20240321,사업보고서 (2023.12),0,(주)액토즈소프트,게임,5821,0
00348034,2024,20250320001182,20250320,사업보고서 (2024.12),0,(주)액토즈소프트,게임,5821,0
00348034,2025,20260507000454,20260507,[기재정정]사업보고서 (2025.12),1,(주)액토즈소프트,게임,5821,0
00348034,2025,20260323001009,20260323,사업보고서 (2025.12),0,(주)액토즈소프트,게임,5821,1
00348292,2019,20200327001937,20200327,사업보고서 (2019.12),0,(주)한빛소프트,게임,5821,0
00348292,2020,20210318001250,20210318,사업보고서 (2020.12),0,(주)한빛소프트,게임,5821,0
00348292,2021,20220805000404,20220805,[기재정정]사업보고서 (2021.12),1,(주)한빛소프트,게임,5821,0
00348292,2021,20220316001384,20220316,사업보고서 (2021.12),0,(주)한빛소프트,게임,5821,1
00348292,2022,20230313000859,20230313,사업보고서 (2022.12),0,(주)한빛소프트,게임,5821,0
00348292,2023,20240319000743,20240319,사업보고서 (2023.12),0,(주)한빛소프트,게임,5821,0
00348292,2024,20250318000817,20250318,사업보고서 (2024.12),0,(주)한빛소프트,게임,5821,0
